#Eig(Ja)                 Time(Ja)               iterations                  Eig(Ar)                 Time(Ar)
4.05783                  61.1908                   269813                  4.05783                 0.130422
7.90945                  61.1908                   269813                  7.90945                 0.130422
11.8190                  61.1908                   269813                  11.8190                 0.130422
15.7633                  61.1908                   269813                  15.7633                 0.130422
19.7998                  61.1908                   269813                  19.7998                 0.130422
