#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.0980392           0.0215642           0.0320928           0.0398069           0.0215642           0.0320928           0.0398069
0.196078           0.0837980            0.119909            0.142904           0.0837980            0.119909            0.142904
0.294118            0.179673            0.240386            0.267126            0.179673            0.240386            0.267126
0.392157            0.298574            0.362159            0.361951            0.298574            0.362159            0.361951
0.490196            0.427753            0.453990            0.389247            0.427753            0.453990            0.389247
0.588235            0.553994            0.492943            0.338569            0.553994            0.492943            0.338569
0.686275            0.665239            0.470058            0.230838            0.665239            0.470058            0.230838
0.784314            0.751920            0.392115            0.109291            0.751920            0.392115            0.109291
0.882353            0.807829            0.279245           0.0218583            0.807829            0.279245           0.0218583
0.980392            0.830446            0.159327          0.00243781            0.830446            0.159327          0.00243781
1.07843            0.820747           0.0608946           0.0584900            0.820747           0.0608946           0.0584900
1.17647            0.782595          0.00649157            0.169364            0.782595          0.00649157            0.169364
1.27451            0.721858          0.00809373            0.295216            0.721858          0.00809373            0.295216
1.37255            0.645439           0.0654670            0.392333            0.645439           0.0654670            0.392333
1.47059            0.560351            0.167461            0.428671            0.560351            0.167461            0.428671
1.56863            0.472982            0.295509            0.394020            0.472982            0.295509            0.394020
1.66667            0.388580            0.428181            0.301830            0.388580            0.428181            0.301830
1.76471            0.311000            0.545592            0.183052            0.311000            0.545592            0.183052
1.86275            0.242668            0.632737           0.0750881            0.242668            0.632737           0.0750881
1.96078            0.184721            0.681250           0.0100926            0.184721            0.681250           0.0100926
2.05882            0.137250            0.689559          0.00639553            0.137250            0.689559          0.00639553
2.15686           0.0995875            0.661775           0.0651460           0.0995875            0.661775           0.0651460
2.25490           0.0705950            0.605835            0.172241           0.0705950            0.605835            0.172241
2.35294           0.0489077            0.531433            0.303986           0.0489077            0.531433            0.303986
2.45098           0.0331248            0.448211            0.434175           0.0331248            0.448211            0.434175
2.54902           0.0219394            0.364436            0.540374           0.0219394            0.364436            0.540374
2.64706           0.0142135            0.286285            0.607977           0.0142135            0.286285            0.607977
2.74510          0.00900916            0.217660            0.631555          0.00900916            0.217660            0.631555
2.84314          0.00558804            0.160395            0.613866          0.00558804            0.160395            0.613866
2.94118          0.00339241            0.114701            0.563399          0.00339241            0.114701            0.563399
3.03922          0.00201606           0.0796814            0.491423          0.00201606           0.0796814            0.491423
3.13725          0.00117304           0.0538204            0.409343          0.00117305           0.0538204            0.409343
3.23529         0.000668345           0.0353730            0.326827         0.000668345           0.0353730            0.326827
3.33333         0.000372923           0.0226373            0.250851         0.000372923           0.0226373            0.250851
3.43137         0.000203808           0.0141143            0.185522         0.000203808           0.0141143            0.185522
3.52941         0.000109108          0.00857835            0.132462         0.000109108          0.00857834            0.132462
3.62745         5.72225E-05          0.00508458           0.0914501         5.72223E-05          0.00508458           0.0914501
3.72549         2.94030E-05          0.00294027           0.0611282         2.94031E-05          0.00294027           0.0611282
3.82353         1.48035E-05          0.00165939           0.0396027         1.48034E-05          0.00165939           0.0396027
3.92157         7.30301E-06         0.000914215           0.0248884         7.30303E-06         0.000914215           0.0248884
4.01961         3.53027E-06         0.000491766           0.0151812         3.53029E-06         0.000491766           0.0151812
4.11765         1.67201E-06         0.000258266          0.00898970         1.67202E-06         0.000258266          0.00898970
4.21569         7.75630E-07         0.000132377          0.00516623         7.75613E-07         0.000132377          0.00516623
4.31373         3.52131E-07         6.61513E-05          0.00287754         3.52145E-07         6.61513E-05          0.00287754
4.41176         1.56147E-07         3.21467E-05          0.00154846         1.56140E-07         3.21466E-05          0.00154846
4.50980         6.73114E-08         1.51034E-05         0.000799384         6.73158E-08         1.51034E-05         0.000799385
4.60784         2.78819E-08         6.76840E-06         0.000389822         2.78823E-08         6.76847E-06         0.000389822
4.70588         1.07702E-08         2.79955E-06         0.000173269         1.07706E-08         2.79955E-06         0.000173269
4.80392         3.56181E-09         9.77269E-07         6.39547E-05         3.56111E-09         9.77297E-07         6.39546E-05
4.90196         7.34471E-10         2.08723E-07         1.41552E-05         7.34600E-10         2.08722E-07         1.41551E-05
