#Eig(Ja)                 Time(Ja)               iterations                  Eig(Ar)                 Time(Ar)
17.4485                  65.6367                   277183                  17.4485                 0.133868
37.0718                  65.6367                   277183                  37.0718                 0.133868
56.8925                  65.6367                   277183                  56.8925                 0.133868
77.2607                  65.6367                   277183                  77.2607                 0.133868
99.7738                  65.6367                   277183                  99.7738                 0.133868
