#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.868263            0.800551            0.297098           0.0321488            0.800551            0.297098           0.0321488
0.878244            0.804907            0.284920           0.0255817            0.804907            0.284920           0.0255817
0.888224            0.808916            0.272651           0.0197184            0.808917            0.272651           0.0197184
0.898204            0.812579            0.260322           0.0145826            0.812579            0.260322           0.0145826
0.908184            0.815894            0.247965           0.0101954            0.815894            0.247965           0.0101954
0.918164            0.818862            0.235611          0.00657459            0.818862            0.235611          0.00657459
0.928144            0.821482            0.223291          0.00373484            0.821482            0.223291          0.00373484
0.938124            0.823756            0.211036          0.00168765            0.823756            0.211036          0.00168766
0.948104            0.825685            0.198878         0.000441312            0.825685            0.198878         0.000441311
0.958084            0.827271            0.186846         8.32894E-07            0.827271            0.186846         8.32920E-07
0.968064            0.828514            0.174970         0.000367990            0.828514            0.174970         0.000367990
0.978044            0.829418            0.163280          0.00154131            0.829418            0.163280          0.00154131
0.988024            0.829985            0.151804          0.00351611            0.829985            0.151804          0.00351610
0.998004            0.830217            0.140571          0.00628449            0.830217            0.140571          0.00628449
1.00798            0.830117            0.129608          0.00983544            0.830117            0.129608          0.00983544
1.01796            0.829690            0.118943           0.0141549            0.829690            0.118943           0.0141549
1.02794            0.828938            0.108600           0.0192256            0.828938            0.108600           0.0192256
1.03792            0.827866           0.0986049           0.0250277            0.827866           0.0986049           0.0250277
1.04790            0.826478           0.0889818           0.0315383            0.826478           0.0889818           0.0315383
1.05788            0.824778           0.0797536           0.0387317            0.824778           0.0797536           0.0387317
1.06786            0.822771           0.0709423           0.0465798            0.822771           0.0709423           0.0465798
1.07784            0.820462           0.0625688           0.0550519            0.820462           0.0625688           0.0550519
1.08782            0.817857           0.0546531           0.0641150            0.817857           0.0546531           0.0641151
1.09780            0.814960           0.0472135           0.0737339            0.814960           0.0472135           0.0737339
1.10778            0.811777           0.0402677           0.0838713            0.811777           0.0402677           0.0838713
1.11776            0.808315           0.0338318           0.0944880            0.808315           0.0338318           0.0944880
1.12774            0.804579           0.0279207            0.105543            0.804579           0.0279207            0.105543
1.13772            0.800575           0.0225481            0.116994            0.800575           0.0225481            0.116994
1.14770            0.796310           0.0177264            0.128798            0.796310           0.0177264            0.128798
1.15768            0.791790           0.0134665            0.140908            0.791790           0.0134665            0.140908
1.16766            0.787022          0.00977811            0.153280            0.787022          0.00977811            0.153280
1.17764            0.782012          0.00666968            0.165866            0.782012          0.00666969            0.165866
1.18762            0.776768          0.00414816            0.178619            0.776768          0.00414816            0.178619
1.19760            0.771297          0.00221921            0.191491            0.771297          0.00221920            0.191491
1.20758            0.765605         0.000887121            0.204433            0.765605         0.000887123            0.204433
1.21756            0.759700         0.000154860            0.217398            0.759700         0.000154859            0.217398
1.22754            0.753589         2.40383E-05            0.230336            0.753589         2.40382E-05            0.230336
1.23752            0.747280         0.000494945            0.243201            0.747280         0.000494945            0.243201
1.24750            0.740779          0.00156655            0.255945            0.740779          0.00156655            0.255945
1.25749            0.734095          0.00323654            0.268520            0.734095          0.00323654            0.268520
1.26747            0.727235          0.00550130            0.280882            0.727235          0.00550131            0.280882
1.27745            0.720205          0.00835599            0.292985            0.720205          0.00835599            0.292985
1.28743            0.713015           0.0117945            0.304785            0.713015           0.0117945            0.304785
1.29741            0.705671           0.0158096            0.316241            0.705671           0.0158096            0.316241
1.30739            0.698181           0.0203928            0.327310            0.698181           0.0203928            0.327310
1.31737            0.690553           0.0255345            0.337954            0.690553           0.0255345            0.337954
1.32735            0.682793           0.0312240            0.348134            0.682793           0.0312240            0.348134
1.33733            0.674910           0.0374497            0.357816            0.674910           0.0374497            0.357816
1.34731            0.666910           0.0441986            0.366966            0.666910           0.0441986            0.366966
1.35729            0.658802           0.0514570            0.375552            0.658802           0.0514570            0.375552
1.36727            0.650592           0.0592103            0.383544            0.650592           0.0592104            0.383544
1.37725            0.642289           0.0674429            0.390916            0.642289           0.0674429            0.390916
1.38723            0.633898           0.0761383            0.397643            0.633898           0.0761383            0.397643
1.39721            0.625428           0.0852793            0.403702            0.625428           0.0852793            0.403702
1.40719            0.616885           0.0948479            0.409075            0.616885           0.0948479            0.409075
1.41717            0.608276            0.104825            0.413743            0.608276            0.104825            0.413743
1.42715            0.599608            0.115193            0.417693            0.599608            0.115193            0.417693
1.43713            0.590889            0.125929            0.420913            0.590889            0.125929            0.420913
1.44711            0.582124            0.137015            0.423394            0.582124            0.137015            0.423394
