#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.0142450         0.000457886         0.000686718         0.000858424         0.000457885         0.000686717         0.000858424
0.0284900          0.00183043          0.00274297          0.00342603          0.00183043          0.00274297          0.00342603
0.0427350          0.00411429          0.00615708          0.00767992          0.00411429          0.00615708          0.00767992
0.0569801          0.00730391           0.0109097           0.0135821          0.00730390           0.0109097           0.0135821
0.0712251           0.0113915           0.0169737           0.0210800           0.0113915           0.0169737           0.0210800
0.0854701           0.0163672           0.0243149           0.0301068           0.0163672           0.0243149           0.0301068
0.0997151           0.0222189           0.0328915           0.0405818           0.0222189           0.0328915           0.0405818
0.113960           0.0289324           0.0426550           0.0524118           0.0289324           0.0426550           0.0524118
0.128205           0.0364915           0.0535499           0.0654914           0.0364915           0.0535499           0.0654915
0.142450           0.0448778           0.0655147           0.0797042           0.0448778           0.0655147           0.0797042
0.156695           0.0540713           0.0784816           0.0949235           0.0540713           0.0784817           0.0949236
0.170940           0.0640496           0.0923774            0.111014           0.0640496           0.0923774            0.111014
0.185185           0.0747890            0.107124            0.127833           0.0747890            0.107124            0.127833
0.199430           0.0862635            0.122637            0.145231           0.0862635            0.122637            0.145231
0.213675           0.0984460            0.138830            0.163053           0.0984460            0.138830            0.163053
0.227920            0.111307            0.155613            0.181141            0.111307            0.155613            0.181141
0.242165            0.124817            0.172889            0.199336            0.124817            0.172889            0.199336
0.256410            0.138943            0.190563            0.217475            0.138943            0.190563            0.217475
0.270655            0.153651            0.208536            0.235399            0.153651            0.208536            0.235399
0.284900            0.168909            0.226707            0.252950            0.168909            0.226707            0.252950
0.299145            0.184679            0.244975            0.269973            0.184679            0.244975            0.269973
0.313390            0.200925            0.263238            0.286318            0.200925            0.263238            0.286318
0.327635            0.217610            0.281394            0.301841            0.217610            0.281394            0.301841
0.341880            0.234695            0.299344            0.316406            0.234695            0.299344            0.316406
0.356125            0.252140            0.316987            0.329886            0.252140            0.316987            0.329886
0.370370            0.269907            0.334227            0.342163            0.269907            0.334227            0.342163
0.384615            0.287955            0.350969            0.353130            0.287955            0.350969            0.353130
0.398860            0.306242            0.367122            0.362692            0.306242            0.367122            0.362692
0.413105            0.324729            0.382597            0.370767            0.324729            0.382597            0.370767
0.427350            0.343375            0.397309            0.377286            0.343375            0.397309            0.377286
0.441595            0.362137            0.411181            0.382193            0.362137            0.411181            0.382192
0.455840            0.380976            0.424136            0.385446            0.380976            0.424136            0.385446
0.470085            0.399850            0.436106            0.387020            0.399850            0.436106            0.387020
0.484330            0.418718            0.447027            0.386902            0.418718            0.447027            0.386902
0.498575            0.437541            0.456841            0.385097            0.437541            0.456841            0.385097
0.512821            0.456279            0.465498            0.381621            0.456279            0.465498            0.381621
0.527066            0.474892            0.472952            0.376507            0.474892            0.472952            0.376507
0.541311            0.493343            0.479166            0.369802            0.493343            0.479166            0.369802
0.555556            0.511593            0.484109            0.361568            0.511593            0.484109            0.361568
0.569801            0.529606            0.487757            0.351876            0.529606            0.487757            0.351876
0.584046            0.547346            0.490092            0.340814            0.547346            0.490092            0.340814
0.598291            0.564778            0.491107            0.328480            0.564778            0.491107            0.328480
0.612536            0.581869            0.490799            0.314983            0.581869            0.490799            0.314983
0.626781            0.598585            0.489172            0.300441            0.598585            0.489172            0.300441
0.641026            0.614896            0.486240            0.284982            0.614896            0.486240            0.284982
0.655271            0.630772            0.482021            0.268740            0.630772            0.482021            0.268740
0.669516            0.646184            0.476542            0.251858            0.646184            0.476542            0.251858
0.683761            0.661105            0.469835            0.234481            0.661105            0.469835            0.234481
0.698006            0.675509            0.461939            0.216761            0.675509            0.461939            0.216761
0.712251            0.689372            0.452901            0.198850            0.689372            0.452901            0.198850
0.726496            0.702672            0.442772            0.180903            0.702672            0.442772            0.180903
0.740741            0.715388            0.431608            0.163074            0.715388            0.431608            0.163074
0.754986            0.727499            0.419471            0.145515            0.727499            0.419471            0.145515
0.769231            0.738989            0.406430            0.128378            0.738989            0.406430            0.128378
0.783476            0.749842            0.392555            0.111807            0.749842            0.392555            0.111807
0.797721            0.760042            0.377923           0.0959433            0.760042            0.377923           0.0959433
0.811966            0.769577            0.362611           0.0809219            0.769577            0.362611           0.0809219
0.826211            0.778437            0.346704           0.0668696            0.778437            0.346704           0.0668696
0.840456            0.786611            0.330284           0.0539048            0.786611            0.330284           0.0539048
0.854701            0.794092            0.313441           0.0421364            0.794092            0.313441           0.0421364
0.868946            0.800873            0.296263           0.0316631            0.800873            0.296263           0.0316631
0.883191            0.806951            0.278840           0.0225724            0.806951            0.278840           0.0225724
0.897436            0.812322            0.261263           0.0149401            0.812322            0.261263           0.0149401
0.911681            0.816986            0.243624          0.00882942            0.816986            0.243624          0.00882942
0.925926            0.820941            0.226014          0.00429111            0.820941            0.226014          0.00429111
0.940171            0.824191            0.208522          0.00136260            0.824191            0.208522          0.00136260
0.954416            0.826739            0.191239         6.79697E-05            0.826739            0.191239         6.79699E-05
0.968661            0.828588            0.174252         0.000417855            0.828588            0.174252         0.000417854
0.982906            0.829745            0.157647          0.00240940            0.829745            0.157647          0.00240940
0.997151            0.830218            0.141507          0.00602639            0.830218            0.141507          0.00602639
1.01140            0.830016            0.125913           0.0112395            0.830016            0.125913           0.0112395
1.02564            0.829147            0.110943           0.0180065            0.829147            0.110943           0.0180065
1.03989            0.827625           0.0966692           0.0262730            0.827625           0.0966692           0.0262730
1.05413            0.825459           0.0831626           0.0359726            0.825459           0.0831626           0.0359726
1.06838            0.822665           0.0704888           0.0470277            0.822665           0.0704888           0.0470277
1.08262            0.819256           0.0587091           0.0593503            0.819256           0.0587091           0.0593503
1.09687            0.815248           0.0478802           0.0728427            0.815248           0.0478802           0.0728427
1.11111            0.810657           0.0380538           0.0873984            0.810657           0.0380538           0.0873984
1.12536            0.805500           0.0292766            0.102903            0.805500           0.0292766            0.102903
1.13960            0.799794           0.0215899            0.119234            0.799794           0.0215900            0.119234
1.15385            0.793559           0.0150299            0.136266            0.793559           0.0150299            0.136266
1.16809            0.786813          0.00962686            0.153866            0.786813          0.00962686            0.153866
1.18234            0.779575          0.00540586            0.171898            0.779575          0.00540586            0.171898
1.19658            0.771867          0.00238622            0.190223            0.771867          0.00238622            0.190223
1.21083            0.763708         0.000581685            0.208702            0.763708         0.000581685            0.208702
1.22507            0.755120         4.09257E-07            0.227194            0.755120         4.09253E-07            0.227194
1.23932            0.746124         0.000645002            0.245560            0.746124         0.000645002            0.245560
1.25356            0.736741          0.00251260            0.263661            0.736741          0.00251261            0.263661
1.26781            0.726993          0.00559499            0.281362            0.726993          0.00559499            0.281362
1.28205            0.716901          0.00987869            0.298533            0.716901          0.00987869            0.298533
1.29630            0.706489           0.0153451            0.315047            0.706489           0.0153451            0.315047
1.31054            0.695777           0.0219709            0.330784            0.695777           0.0219709            0.330784
1.32479            0.684788           0.0297276            0.345629            0.684788           0.0297276            0.345629
1.33903            0.673543           0.0385827            0.359477            0.673543           0.0385827            0.359477
1.35328            0.662064           0.0484991            0.372228            0.662064           0.0484991            0.372228
1.36752            0.650372           0.0594358            0.383794            0.650372           0.0594358            0.383794
1.38177            0.638490           0.0713478            0.394095            0.638490           0.0713478            0.394095
1.39601            0.626436           0.0841869            0.403060            0.626436           0.0841869            0.403060
1.41026            0.614233           0.0979014            0.410630            0.614233           0.0979014            0.410630
1.42450            0.601900            0.112437            0.416757            0.601900            0.112437            0.416757
1.43875            0.589458            0.127736            0.421403            0.589458            0.127736            0.421403
1.45299            0.576926            0.143740            0.424539            0.576926            0.143740            0.424539
1.46724            0.564322            0.160387            0.426152            0.564322            0.160387            0.426152
1.48148            0.551666            0.177613            0.426236            0.551666            0.177613            0.426236
1.49573            0.538975            0.195354            0.424799            0.538975            0.195354            0.424799
1.50997            0.526267            0.213545            0.421857            0.526267            0.213545            0.421857
1.52422            0.513559            0.232119            0.417439            0.513559            0.232119            0.417439
1.53846            0.500866            0.251009            0.411583            0.500866            0.251009            0.411583
1.55271            0.488206            0.270148            0.404338            0.488206            0.270148            0.404338
1.56695            0.475592            0.289469            0.395762            0.475592            0.289469            0.395762
1.58120            0.463040            0.308905            0.385922            0.463040            0.308905            0.385922
1.59544            0.450563            0.328391            0.374893            0.450563            0.328391            0.374893
1.60969            0.438174            0.347862            0.362756            0.438174            0.347862            0.362757
1.62393            0.425886            0.367254            0.349604            0.425886            0.367254            0.349604
1.63818            0.413712            0.386505            0.335531            0.413712            0.386505            0.335531
1.65242            0.401661            0.405553            0.320639            0.401661            0.405553            0.320639
1.66667            0.389745            0.424341            0.305034            0.389745            0.424341            0.305034
1.68091            0.377975            0.442810            0.288828            0.377975            0.442810            0.288828
1.69516            0.366358            0.460908            0.272133            0.366358            0.460908            0.272133
1.70940            0.354904            0.478581            0.255066            0.354904            0.478581            0.255066
1.72365            0.343621            0.495781            0.237743            0.343621            0.495781            0.237743
1.73789            0.332516            0.512459            0.220283            0.332516            0.512459            0.220283
1.75214            0.321597            0.528573            0.202804            0.321597            0.528573            0.202804
1.76638            0.310868            0.544080            0.185423            0.310868            0.544080            0.185423
1.78063            0.300337            0.558943            0.168255            0.300337            0.558943            0.168255
1.79487            0.290007            0.573127            0.151413            0.290007            0.573127            0.151413
1.80912            0.279884            0.586598            0.135008            0.279884            0.586598            0.135008
