#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.149626         4.44732E-08         2.02830E-07         5.35623E-07         4.44692E-08         4.44692E-08         5.35628E-07
0.299252         2.05053E-07         9.34496E-07         2.46589E-06         2.05055E-07         2.05055E-07         2.46588E-06
0.448878         5.29365E-07         2.40957E-06         6.35036E-06         5.29358E-07         5.29358E-07         6.35034E-06
0.598504         1.07513E-06         4.88573E-06         1.28545E-05         1.07515E-06         1.07515E-06         1.28545E-05
0.748130         1.91139E-06         8.66795E-06         2.27574E-05         1.91139E-06         1.91139E-06         2.27573E-05
0.897756         3.11972E-06         1.41127E-05         3.69589E-05         3.11972E-06         3.11972E-06         3.69590E-05
1.04738         4.79560E-06         2.16321E-05         5.64857E-05         4.79558E-06         4.79558E-06         5.64856E-05
1.19701         7.04969E-06         3.16976E-05         8.24960E-05         7.04966E-06         7.04966E-06         8.24961E-05
1.34663         1.00093E-05         4.48441E-05         0.000116283         1.00093E-05         1.00093E-05         0.000116284
1.49626         1.38197E-05         6.16733E-05         0.000159279         1.38197E-05         1.38197E-05         0.000159279
1.64589         1.86457E-05         8.28565E-05         0.000213053         1.86457E-05         1.86457E-05         0.000213053
1.79551         2.46728E-05         0.000109138         0.000279309         2.46729E-05         2.46729E-05         0.000279309
1.94514         3.21092E-05         0.000141337         0.000359886         3.21093E-05         3.21093E-05         0.000359886
2.09476         4.11865E-05         0.000180348         0.000456751         4.11865E-05         4.11865E-05         0.000456751
2.24439         5.21615E-05         0.000227146         0.000571988         5.21616E-05         5.21616E-05         0.000571988
2.39401         6.53178E-05         0.000282781         0.000707792         6.53178E-05         6.53178E-05         0.000707792
2.54364         8.09664E-05         0.000348384         0.000866453         8.09665E-05         8.09665E-05         0.000866453
2.69327         9.94477E-05         0.000425160          0.00105035         9.94477E-05         9.94477E-05          0.00105035
2.84289         0.000121132         0.000514391          0.00126191         0.000121132         0.000121132          0.00126191
2.99252         0.000146421         0.000617429          0.00150361         0.000146421         0.000146421          0.00150361
3.14214         0.000175749         0.000735697          0.00177797         0.000175749         0.000175749          0.00177797
3.29177         0.000209583         0.000870680          0.00208747         0.000209583         0.000209583          0.00208747
3.44140         0.000248423          0.00102392          0.00243459         0.000248423         0.000248423          0.00243459
3.59102         0.000292804          0.00119701          0.00282173         0.000292804         0.000292804          0.00282173
3.74065         0.000343297          0.00139159          0.00325122         0.000343297         0.000343297          0.00325122
3.89027         0.000400505          0.00160933          0.00372526         0.000400505         0.000400505          0.00372526
4.03990         0.000465067          0.00185193          0.00424588         0.000465067         0.000465067          0.00424588
4.18953         0.000537658          0.00212110          0.00481495         0.000537658         0.000537658          0.00481495
4.33915         0.000618984          0.00241855          0.00543410         0.000618984         0.000618984          0.00543410
4.48878         0.000709786          0.00274597          0.00610470         0.000709787         0.000709787          0.00610470
4.63840         0.000810839          0.00310506          0.00682784         0.000810839         0.000810839          0.00682784
4.78803         0.000922947          0.00349745          0.00760428         0.000922947         0.000922947          0.00760428
4.93766          0.00104694          0.00392472          0.00843442          0.00104695          0.00104695          0.00843442
5.08728          0.00118369          0.00438839          0.00931827          0.00118369          0.00118369          0.00931827
5.23691          0.00133408          0.00488990           0.0102554          0.00133408          0.00133408           0.0102554
5.38653          0.00149903          0.00543056           0.0112451          0.00149903          0.00149903           0.0112451
5.53616          0.00167945          0.00601160           0.0122858          0.00167946          0.00167946           0.0122858
5.68579          0.00187632          0.00663409           0.0133760          0.00187632          0.00187632           0.0133760
5.83541          0.00209060          0.00729895           0.0145131          0.00209060          0.00209060           0.0145131
5.98504          0.00232326          0.00800694           0.0156945          0.00232326          0.00232326           0.0156945
6.13466          0.00257529          0.00875862           0.0169169          0.00257529          0.00257529           0.0169169
6.28429          0.00284770          0.00955437           0.0181762          0.00284770          0.00284770           0.0181762
6.43392          0.00314146           0.0103943           0.0194682          0.00314146          0.00314146           0.0194682
6.58354          0.00345757           0.0112784           0.0207881          0.00345758          0.00345758           0.0207881
6.73317          0.00379702           0.0122064           0.0221303          0.00379702          0.00379702           0.0221303
6.88279          0.00416077           0.0131775           0.0234891          0.00416077          0.00416077           0.0234891
7.03242          0.00454977           0.0141910           0.0248581          0.00454978          0.00454978           0.0248581
7.18204          0.00496496           0.0152458           0.0262307          0.00496496          0.00496496           0.0262307
7.33167          0.00540722           0.0163405           0.0275997          0.00540722          0.00540722           0.0275997
7.48130          0.00587744           0.0174733           0.0289577          0.00587744          0.00587744           0.0289577
7.63092          0.00637643           0.0186422           0.0302970          0.00637643          0.00637643           0.0302970
7.78055          0.00690498           0.0198450           0.0316096          0.00690498          0.00690498           0.0316096
7.93017          0.00746384           0.0210790           0.0328874          0.00746384          0.00746384           0.0328874
8.07980          0.00805367           0.0223414           0.0341221          0.00805367          0.00805367           0.0341222
8.22943          0.00867511           0.0236290           0.0353055          0.00867511          0.00867511           0.0353055
8.37905          0.00932871           0.0249383           0.0364292          0.00932871          0.00932871           0.0364292
8.52868           0.0100150           0.0262655           0.0374852           0.0100150           0.0100150           0.0374852
8.67830           0.0107342           0.0276067           0.0384653           0.0107343           0.0107343           0.0384653
8.82793           0.0114869           0.0289575           0.0393618           0.0114869           0.0114869           0.0393618
8.97756           0.0122733           0.0303134           0.0401674           0.0122733           0.0122733           0.0401674
9.12718           0.0130934           0.0316698           0.0408748           0.0130934           0.0130934           0.0408748
9.27681           0.0139473           0.0330217           0.0414777           0.0139473           0.0139473           0.0414777
9.42643           0.0148351           0.0343639           0.0419698           0.0148351           0.0148351           0.0419698
9.57606           0.0157566           0.0356913           0.0423459           0.0157566           0.0157566           0.0423459
9.72569           0.0167115           0.0369983           0.0426012           0.0167115           0.0167115           0.0426012
9.87531           0.0176995           0.0382797           0.0427317           0.0176995           0.0176995           0.0427317
10.0249           0.0187202           0.0395297           0.0427342           0.0187202           0.0187202           0.0427342
10.1746           0.0197729           0.0407428           0.0426064           0.0197729           0.0197729           0.0426064
10.3242           0.0208570           0.0419133           0.0423469           0.0208570           0.0208570           0.0423469
10.4738           0.0219718           0.0430358           0.0419551           0.0219718           0.0219718           0.0419551
10.6234           0.0231162           0.0441048           0.0414315           0.0231162           0.0231162           0.0414315
