#Eig(Ja)                 Time(Ja)               iterations                  Eig(Ar)                 Time(Ar)
2.99991                  17.7895                   150798                  2.99991                0.0694520
6.99957                  17.7895                   150798                  6.99957                0.0694520
10.9991                  17.7895                   150798                  10.9991                0.0694520
15.0039                  17.7895                   150798                  15.0039                0.0694520
19.0699                  17.7895                   150798                  19.0699                0.0694520
