#Eig(Ja)                 Time(Ja)               iterations                  Eig(Ar)                 Time(Ar)
2.99699                0.0165350                     4040                  2.99699               0.00127400
6.98495                0.0165350                     4040                  6.98495               0.00127400
10.9634                0.0165350                     4040                  10.9634               0.00127400
14.9374                0.0165350                     4040                  14.9374               0.00127400
18.9590                0.0165350                     4040                  18.9590               0.00127400
