#Eig(Ja)                 Time(Ja)               iterations                  Eig(Ar)                 Time(Ar)
2.23009                  59.9538                   265393                  2.23009                 0.126395
4.13433                  59.9538                   265393                  4.13433                 0.126395
6.07361                  59.9538                   265393                  6.07361                 0.126395
8.03033                  59.9538                   265393                  8.03033                 0.126395
9.99823                  59.9538                   265393                  9.99823                 0.126395
