#Eig(Ja)                 Time(Ja)               iterations                  Eig(Ar)                 Time(Ar)
2.99994                  34.5932                   205757                  2.99994                0.0831180
6.99969                  34.5932                   205757                  6.99969                0.0831180
10.9994                  34.5932                   205757                  10.9994                0.0831180
15.0044                  34.5932                   205757                  15.0044                0.0831180
19.0707                  34.5932                   205757                  19.0707                0.0831180
