#Eig(Ja)                 Time(Ja)               iterations                  Eig(Ar)                 Time(Ar)
1.24999                  64.9130                   263260                  1.24999                 0.130515
2.19006                  64.9130                   263260                  2.19006                 0.130515
3.15053                  64.9130                   263260                  3.15053                 0.130515
4.12445                  64.9130                   263260                  4.12445                 0.130515
5.12834                  64.9130                   263260                  5.12834                 0.130515
