#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.0124688         0.000350829         0.000526178         0.000657769         0.000350829         0.000526179         0.000657768
0.0249377          0.00140266          0.00210242          0.00262658          0.00140266          0.00210242          0.00262658
0.0374065          0.00315353          0.00472188          0.00589296          0.00315353          0.00472188          0.00589297
0.0498753          0.00560018          0.00837314           0.0104346          0.00560018          0.00837314           0.0104346
0.0623441          0.00873805           0.0130403           0.0162204          0.00873805           0.0130403           0.0162204
0.0748130           0.0125613           0.0187032           0.0232109           0.0125613           0.0187031           0.0232109
0.0872818           0.0170628           0.0253370           0.0313583           0.0170628           0.0253370           0.0313583
0.0997506           0.0222342           0.0329130           0.0406069           0.0222342           0.0329130           0.0406069
0.112219           0.0280659           0.0413983           0.0508936           0.0280659           0.0413983           0.0508936
0.124688           0.0345470           0.0507560           0.0621482           0.0345470           0.0507560           0.0621482
0.137157           0.0416656           0.0609456           0.0742938           0.0416656           0.0609456           0.0742937
0.149626           0.0494085           0.0719228           0.0872475           0.0494085           0.0719228           0.0872475
0.162095           0.0577614           0.0836402            0.100921           0.0577614           0.0836402            0.100921
0.174564           0.0667090           0.0960469            0.115222           0.0667090           0.0960469            0.115222
0.187032           0.0762346            0.109089            0.130051           0.0762346            0.109089            0.130051
0.199501           0.0863210            0.122711            0.145309           0.0863210            0.122711            0.145309
0.211970           0.0969496            0.136854            0.160892           0.0969496            0.136854            0.160892
0.224439            0.108101            0.151456            0.176693            0.108101            0.151456            0.176693
0.236908            0.119755            0.166454            0.192606            0.119755            0.166454            0.192606
0.249377            0.131890            0.181786            0.208523            0.131890            0.181786            0.208523
0.261845            0.144485            0.197383            0.224335            0.144485            0.197383            0.224335
0.274314            0.157517            0.213180            0.239935            0.157517            0.213180            0.239935
0.286783            0.170961            0.229109            0.255219            0.170961            0.229109            0.255219
0.299252            0.184796            0.245102            0.270082            0.184796            0.245102            0.270082
0.311721            0.198994            0.261091            0.284426            0.198994            0.261091            0.284426
0.324190            0.213532            0.277007            0.298152            0.213532            0.277007            0.298152
0.336658            0.228384            0.292783            0.311169            0.228384            0.292783            0.311169
0.349127            0.243523            0.308352            0.323389            0.243523            0.308352            0.323389
0.361596            0.258923            0.323649            0.334731            0.258923            0.323649            0.334731
0.374065            0.274558            0.338609            0.345119            0.274558            0.338609            0.345119
0.386534            0.290399            0.353168            0.354483            0.290399            0.353168            0.354484
0.399002            0.306421            0.367267            0.362763            0.306421            0.367267            0.362763
0.411471            0.322595            0.380845            0.369901            0.322595            0.380845            0.369901
0.423940            0.338893            0.393847            0.375853            0.338893            0.393847            0.375853
0.436409            0.355289            0.406219            0.380579            0.355289            0.406219            0.380579
0.448878            0.371755            0.417909            0.384048            0.371755            0.417909            0.384048
0.461347            0.388263            0.428869            0.386238            0.388263            0.428869            0.386238
0.473815            0.404786            0.439055            0.387137            0.404786            0.439055            0.387137
0.486284            0.421297            0.448426            0.386740            0.421297            0.448426            0.386740
0.498753            0.437769            0.456943            0.385050            0.437769            0.456943            0.385050
0.511222            0.454175            0.464572            0.382080            0.454175            0.464572            0.382080
0.523691            0.470489            0.471284            0.377852            0.470489            0.471284            0.377852
0.536160            0.486685            0.477051            0.372396            0.486685            0.477051            0.372396
0.548628            0.502739            0.481853            0.365749            0.502738            0.481853            0.365749
0.561097            0.518624            0.485670            0.357957            0.518624            0.485670            0.357957
0.573566            0.534316            0.488490            0.349074            0.534316            0.488490            0.349074
0.586035            0.549792            0.490301            0.339159            0.549792            0.490302            0.339159
0.598504            0.565029            0.491101            0.328281            0.565029            0.491101            0.328281
0.610973            0.580003            0.490886            0.316513            0.580003            0.490886            0.316513
0.623441            0.594694            0.489661            0.303934            0.594694            0.489661            0.303934
0.635910            0.609079            0.487432            0.290628            0.609079            0.487432            0.290628
0.648379            0.623140            0.484212            0.276686            0.623140            0.484212            0.276686
0.660848            0.636855            0.480015            0.262199            0.636855            0.480015            0.262199
0.673317            0.650206            0.474862            0.247265            0.650206            0.474862            0.247265
0.685786            0.663176            0.468776            0.231982            0.663176            0.468776            0.231982
0.698254            0.675748            0.461784            0.216453            0.675748            0.461784            0.216453
0.710723            0.687904            0.453917            0.200780            0.687904            0.453917            0.200780
0.723192            0.699631            0.445209            0.185066            0.699631            0.445209            0.185066
0.735661            0.710914            0.435699            0.169415            0.710914            0.435699            0.169415
0.748130            0.721739            0.425426            0.153930            0.721739            0.425426            0.153930
0.760599            0.732094            0.414434            0.138712            0.732094            0.414434            0.138712
0.773067            0.741968            0.402770            0.123860            0.741968            0.402770            0.123860
0.785536            0.751350            0.390482            0.109473            0.751350            0.390482            0.109473
0.798005            0.760231            0.377622           0.0956429            0.760232            0.377622           0.0956429
0.810474            0.768603            0.364244           0.0824600            0.768603            0.364244           0.0824600
0.822943            0.776457            0.350402           0.0700096            0.776457            0.350402           0.0700096
0.835411            0.783788            0.336153           0.0583722            0.783788            0.336153           0.0583722
0.847880            0.790590            0.321555           0.0476229            0.790590            0.321555           0.0476229
0.860349            0.796858            0.306667           0.0378307            0.796858            0.306667           0.0378307
0.872818            0.802589            0.291550           0.0290584            0.802589            0.291550           0.0290584
0.885287            0.807780            0.276265           0.0213622            0.807780            0.276265           0.0213622
0.897756            0.812429            0.260872           0.0147912            0.812429            0.260872           0.0147912
0.910224            0.816536            0.245432          0.00938708            0.816536            0.245432          0.00938708
0.922693            0.820100            0.230007          0.00518425            0.820100            0.230007          0.00518425
0.935162            0.823124            0.214658          0.00220927            0.823124            0.214658          0.00220927
0.947631            0.825608            0.199445         0.000480929            0.825608            0.199445         0.000480929
0.960100            0.827555            0.184426         1.00943E-05            0.827555            0.184426         1.00944E-05
0.972569            0.828970            0.169661         0.000799727            0.828970            0.169661         0.000799726
0.985037            0.829855            0.155207          0.00284489            0.829855            0.155207          0.00284489
0.997506            0.830218            0.141118          0.00613283            0.830218            0.141118          0.00613284
1.00998            0.830062            0.127449           0.0106431            0.830062            0.127449           0.0106431
1.02244            0.829396            0.114251           0.0163478            0.829396            0.114251           0.0163478
1.03491            0.828227            0.101575           0.0232117            0.828227            0.101575           0.0232117
1.04738            0.826562           0.0894687           0.0311924            0.826562           0.0894687           0.0311924
1.05985            0.824410           0.0779767           0.0402411            0.824410           0.0779767           0.0402411
1.07232            0.821780           0.0671421           0.0503023            0.821780           0.0671421           0.0503023
1.08479            0.818683           0.0570049           0.0613149            0.818683           0.0570049           0.0613149
1.09726            0.815128           0.0476025           0.0732118            0.815128           0.0476025           0.0732118
1.10973            0.811127           0.0389693           0.0859212            0.811127           0.0389693           0.0859212
1.12219            0.806691           0.0311367           0.0993664            0.806691           0.0311367           0.0993665
1.13466            0.801832           0.0241329            0.113467            0.801832           0.0241329            0.113467
1.14713            0.796562           0.0179832            0.128138            0.796562           0.0179832            0.128138
1.15960            0.790894           0.0127096            0.143292            0.790894           0.0127096            0.143292
1.17207            0.784840          0.00833082            0.158840            0.784840          0.00833083            0.158840
1.18454            0.778414          0.00486225            0.174690            0.778414          0.00486225            0.174690
1.19701            0.771630          0.00231607            0.190748            0.771630          0.00231607            0.190748
1.20948            0.764501         0.000701177            0.206921            0.764501         0.000701176            0.206921
1.22195            0.757042         2.31466E-05            0.223115            0.757042         2.31463E-05            0.223115
1.23441            0.749266         0.000284317            0.239234            0.749266         0.000284316            0.239234
1.24688            0.741188          0.00148380            0.255188            0.741188          0.00148380            0.255188
1.25935            0.732823          0.00361753            0.270883            0.732823          0.00361753            0.270884
1.27182            0.724185          0.00667834            0.286232            0.724185          0.00667834            0.286232
1.28429            0.715289           0.0106560            0.301146            0.715289           0.0106560            0.301146
1.29676            0.706149           0.0155373            0.315542            0.706149           0.0155373            0.315542
1.30923            0.696780           0.0213063            0.329340            0.696780           0.0213063            0.329340
1.32170            0.687198           0.0279440            0.342462            0.687198           0.0279440            0.342462
1.33416            0.677415           0.0354290            0.354837            0.677415           0.0354290            0.354837
1.34663            0.667448           0.0437373            0.366398            0.667448           0.0437373            0.366398
1.35910            0.657311           0.0528424            0.377081            0.657311           0.0528424            0.377081
1.37157            0.647017           0.0627155            0.386830            0.647017           0.0627155            0.386830
1.38404            0.636581           0.0733257            0.395594            0.636581           0.0733257            0.395594
1.39651            0.626017           0.0846401            0.403326            0.626017           0.0846401            0.403326
1.40898            0.615339           0.0966239            0.409989            0.615339           0.0966239            0.409989
1.42145            0.604560            0.109241            0.415548            0.604560            0.109241            0.415548
1.43392            0.593694            0.122452            0.419978            0.593694            0.122452            0.419978
1.44638            0.582754            0.136219            0.423258            0.582754            0.136219            0.423258
1.45885            0.571752            0.150501            0.425374            0.571752            0.150500            0.425374
1.47132            0.560702            0.165255            0.426320            0.560702            0.165255            0.426320
1.48379            0.549616            0.180439            0.426096            0.549616            0.180439            0.426096
1.49626            0.538505            0.196010            0.424707            0.538505            0.196010            0.424707
1.50873            0.527382            0.211924            0.422166            0.527382            0.211924            0.422166
1.52120            0.516257            0.228135            0.418492            0.516257            0.228135            0.418492
1.53367            0.505142            0.244600            0.413710            0.505142            0.244600            0.413710
1.54613            0.494047            0.261273            0.407849            0.494047            0.261273            0.407849
1.55860            0.482983            0.278109            0.400948            0.482983            0.278109            0.400948
1.57107            0.471960            0.295063            0.393046            0.471960            0.295063            0.393046
1.58354            0.460986            0.312092            0.384192            0.460986            0.312092            0.384192
1.59601            0.450072            0.329150            0.374436            0.450072            0.329150            0.374436
1.60848            0.439226            0.346194            0.363835            0.439226            0.346194            0.363835
1.62095            0.428457            0.363182            0.352449            0.428457            0.363182            0.352449
1.63342            0.417773            0.380072            0.340342            0.417773            0.380072            0.340342
1.64589            0.407180            0.396822            0.327580            0.407180            0.396822            0.327580
1.65835            0.396688            0.413393            0.314235            0.396688            0.413393            0.314235
1.67082            0.386302            0.429746            0.300379            0.386302            0.429746            0.300379
1.68329            0.376029            0.445843            0.286087            0.376029            0.445842            0.286087
1.69576            0.365875            0.461647            0.271435            0.365875            0.461647            0.271435
1.70823            0.355846            0.477126            0.256501            0.355846            0.477126            0.256501
1.72070            0.345948            0.492244            0.241364            0.345948            0.492244            0.241364
1.73317            0.336185            0.506970            0.226103            0.336185            0.506970            0.226103
1.74564            0.326562            0.521275            0.210797            0.326562            0.521275            0.210797
1.75810            0.317084            0.535129            0.195525            0.317084            0.535129            0.195525
1.77057            0.307754            0.548506            0.180366            0.307754            0.548506            0.180366
1.78304            0.298576            0.561381            0.165395            0.298576            0.561381            0.165395
1.79551            0.289554            0.573732            0.150689            0.289554            0.573732            0.150689
1.80798            0.280690            0.585536            0.136320            0.280690            0.585536            0.136320
1.82045            0.271986            0.596774            0.122361            0.271986            0.596774            0.122361
1.83292            0.263446            0.607429            0.108879            0.263446            0.607429            0.108879
1.84539            0.255071            0.617484           0.0959414            0.255071            0.617484           0.0959415
1.85786            0.246863            0.626927           0.0836101            0.246863            0.626927           0.0836101
1.87032            0.238824            0.635744           0.0719444            0.238824            0.635744           0.0719444
1.88279            0.230954            0.643927           0.0610003            0.230954            0.643927           0.0610003
1.89526            0.223254            0.651465           0.0508294            0.223254            0.651465           0.0508294
1.90773            0.215725            0.658354           0.0414797            0.215725            0.658354           0.0414797
1.92020            0.208367            0.664587           0.0329947            0.208367            0.664587           0.0329947
1.93267            0.201181            0.670162           0.0254137            0.201181            0.670162           0.0254137
1.94514            0.194166            0.675078           0.0187715            0.194166            0.675078           0.0187715
1.95761            0.187322            0.679334           0.0130982            0.187322            0.679334           0.0130982
1.97007            0.180649            0.682932          0.00841963            0.180649            0.682932          0.00841964
1.98254            0.174145            0.685876          0.00475658            0.174145            0.685876          0.00475658
1.99501            0.167809            0.688171          0.00212536            0.167809            0.688171          0.00212536
2.00748            0.161642            0.689822         0.000537543            0.161642            0.689822         0.000537544
2.01995            0.155640            0.690837         5.91389E-08            0.155640            0.690837         5.91469E-08
2.03242            0.149804            0.691226         0.000515238            0.149804            0.691226         0.000515239
2.04489            0.144130            0.690999          0.00208088            0.144130            0.690999          0.00208088
2.05736            0.138618            0.690166          0.00469035            0.138618            0.690166          0.00469035
2.06983            0.133266            0.688740          0.00833268            0.133266            0.688740          0.00833268
2.08229            0.128071            0.686735           0.0129927            0.128071            0.686735           0.0129927
2.09476            0.123032            0.684165           0.0186513            0.123032            0.684165           0.0186513
2.10723            0.118146            0.681045           0.0252852            0.118146            0.681045           0.0252852
2.11970            0.113410            0.677392           0.0328678            0.113410            0.677392           0.0328678
2.13217            0.108823            0.673222           0.0413686            0.108823            0.673222           0.0413686
2.14464            0.104382            0.668553           0.0507541            0.104382            0.668553           0.0507542
2.15711            0.100084            0.663403           0.0609876            0.100084            0.663404           0.0609876
2.16958           0.0959274            0.657792           0.0720293           0.0959274            0.657792           0.0720293
2.18204           0.0919084            0.651737           0.0838371           0.0919084            0.651736           0.0838371
2.19451           0.0880247            0.645258           0.0963663           0.0880247            0.645258           0.0963663
2.20698           0.0842734            0.638376            0.109570           0.0842734            0.638376            0.109570
2.21945           0.0806517            0.631111            0.123399           0.0806517            0.631111            0.123399
2.23192           0.0771569            0.623482            0.137804           0.0771569            0.623482            0.137804
2.24439           0.0737859            0.615512            0.152732           0.0737859            0.615512            0.152732
2.25686           0.0705359            0.607219            0.168130           0.0705359            0.607219            0.168130
2.26933           0.0674040            0.598625            0.183945           0.0674040            0.598625            0.183945
2.28180           0.0643872            0.589751            0.200121           0.0643872            0.589751            0.200121
2.29426           0.0614826            0.580616            0.216604           0.0614827            0.580616            0.216604
2.30673           0.0586874            0.571242            0.233338           0.0586874            0.571242            0.233338
2.31920           0.0559986            0.561649            0.250267           0.0559986            0.561649            0.250267
2.33167           0.0534132            0.551856            0.267337           0.0534132            0.551856            0.267337
2.34414           0.0509285            0.541883            0.284493           0.0509285            0.541883            0.284493
2.35661           0.0485415            0.531750            0.301681           0.0485415            0.531750            0.301681
2.36908           0.0462494            0.521476            0.318847           0.0462494            0.521476            0.318847
2.38155           0.0440494            0.511080            0.335940           0.0440494            0.511080            0.335940
2.39401           0.0419387            0.500579            0.352908           0.0419387            0.500579            0.352908
2.40648           0.0399146            0.489992            0.369703           0.0399146            0.489992            0.369703
2.41895           0.0379743            0.479336            0.386276           0.0379743            0.479336            0.386276
2.43142           0.0361152            0.468628            0.402580           0.0361152            0.468628            0.402580
2.44389           0.0343346            0.457884            0.418572           0.0343346            0.457884            0.418572
2.45636           0.0326299            0.447120            0.434209           0.0326299            0.447120            0.434209
2.46883           0.0309987            0.436351            0.449450           0.0309987            0.436351            0.449450
2.48130           0.0294383            0.425593            0.464257           0.0294383            0.425593            0.464257
2.49377           0.0279464            0.414858            0.478594           0.0279464            0.414858            0.478594
2.50623           0.0265205            0.404162            0.492427           0.0265205            0.404162            0.492427
2.51870           0.0251583            0.393516            0.505725           0.0251583            0.393516            0.505725
2.53117           0.0238575            0.382932            0.518458           0.0238575            0.382932            0.518458
2.54364           0.0226158            0.372424            0.530601           0.0226158            0.372424            0.530601
2.55611           0.0214311            0.362001            0.542128           0.0214311            0.362001            0.542128
2.56858           0.0203011            0.351674            0.553019           0.0203011            0.351674            0.553019
2.58105           0.0192238            0.341454            0.563253           0.0192238            0.341454            0.563254
2.59352           0.0181972            0.331349            0.572816           0.0181972            0.331349            0.572816
2.60599           0.0172193            0.321368            0.581691           0.0172193            0.321368            0.581691
2.61845           0.0162881            0.311519            0.589868           0.0162881            0.311519            0.589868
2.63092           0.0154017            0.301809            0.597337           0.0154017            0.301809            0.597337
2.64339           0.0145584            0.292246            0.604091           0.0145584            0.292246            0.604091
2.65586           0.0137564            0.282836            0.610125           0.0137564            0.282836            0.610125
2.66833           0.0129940            0.273585            0.615437           0.0129940            0.273585            0.615437
2.68080           0.0122695            0.264497            0.620027           0.0122695            0.264497            0.620027
2.69327           0.0115812            0.255579            0.623896           0.0115812            0.255579            0.623896
2.70574           0.0109277            0.246832            0.627049           0.0109277            0.246832            0.627049
2.71820           0.0103075            0.238263            0.629491           0.0103075            0.238263            0.629491
2.73067          0.00971900            0.229873            0.631229          0.00971900            0.229873            0.631229
2.74314          0.00916088            0.221665            0.632274          0.00916088            0.221665            0.632274
2.75561          0.00863177            0.213643            0.632636          0.00863177            0.213643            0.632636
2.76808          0.00813036            0.205807            0.632328          0.00813036            0.205807            0.632328
2.78055          0.00765538            0.198158            0.631364          0.00765538            0.198158            0.631364
2.79302          0.00720562            0.190699            0.629760          0.00720562            0.190699            0.629760
2.80549          0.00677991            0.183430            0.627533          0.00677991            0.183430            0.627533
2.81796          0.00637711            0.176350            0.624700          0.00637711            0.176350            0.624700
2.83042          0.00599615            0.169461            0.621281          0.00599614            0.169461            0.621281
2.84289          0.00563597            0.162761            0.617296          0.00563597            0.162761            0.617296
2.85536          0.00529557            0.156249            0.612766          0.00529557            0.156249            0.612766
2.86783          0.00497400            0.149926            0.607712          0.00497400            0.149926            0.607712
2.88030          0.00467033            0.143789            0.602157          0.00467032            0.143789            0.602157
2.89277          0.00438367            0.137837            0.596123          0.00438366            0.137837            0.596124
2.90524          0.00411317            0.132068            0.589635          0.00411317            0.132068            0.589635
2.91771          0.00385802            0.126481            0.582716          0.00385802            0.126481            0.582716
2.93017          0.00361744            0.121072            0.575390          0.00361744            0.121072            0.575390
2.94264          0.00339069            0.115840            0.567681          0.00339069            0.115840            0.567681
2.95511          0.00317705            0.110782            0.559614          0.00317705            0.110782            0.559614
2.96758          0.00297584            0.105895            0.551213          0.00297584            0.105895            0.551213
2.98005          0.00278640            0.101177            0.542503          0.00278641            0.101177            0.542503
2.99252          0.00260812           0.0966241            0.533507          0.00260812           0.0966240            0.533507
3.00499          0.00244041           0.0922332            0.524250          0.00244041           0.0922332            0.524250
3.01746          0.00228269           0.0880014            0.514757          0.00228269           0.0880014            0.514757
3.02993          0.00213443           0.0839252            0.505049          0.00213443           0.0839252            0.505049
3.04239          0.00199511           0.0800012            0.495151          0.00199511           0.0800012            0.495151
3.05486          0.00186424           0.0762259            0.485086          0.00186424           0.0762259            0.485086
3.06733          0.00174136           0.0725958            0.474874          0.00174136           0.0725958            0.474874
3.07980          0.00162602           0.0691073            0.464539          0.00162602           0.0691073            0.464539
3.09227          0.00151779           0.0657567            0.454102          0.00151779           0.0657567            0.454102
3.10474          0.00141628           0.0625406            0.443582          0.00141628           0.0625406            0.443582
3.11721          0.00132111           0.0594550            0.433000          0.00132111           0.0594550            0.433000
3.12968          0.00123191           0.0564965            0.422376          0.00123191           0.0564965            0.422376
3.14214          0.00114834           0.0536614            0.411727          0.00114834           0.0536614            0.411727
3.15461          0.00107007           0.0509459            0.401072          0.00107007           0.0509459            0.401072
3.16708         0.000996798           0.0483465            0.390427         0.000996796           0.0483465            0.390427
3.17955         0.000928223           0.0458595            0.379810         0.000928224           0.0458595            0.379810
3.19202         0.000864071           0.0434813            0.369235         0.000864070           0.0434813            0.369235
3.20449         0.000804078           0.0412084            0.358718         0.000804078           0.0412084            0.358718
3.21696         0.000747996           0.0390373            0.348273         0.000747994           0.0390373            0.348273
3.22943         0.000695587           0.0369645            0.337912         0.000695587           0.0369645            0.337912
3.24190         0.000646630           0.0349865            0.327649         0.000646630           0.0349865            0.327649
3.25436         0.000600915           0.0331001            0.317495         0.000600914           0.0331001            0.317495
3.26683         0.000558241           0.0313019            0.307461         0.000558242           0.0313019            0.307461
3.27930         0.000518422           0.0295886            0.297557         0.000518421           0.0295886            0.297557
3.29177         0.000481279           0.0279572            0.287793         0.000481278           0.0279572            0.287793
3.30424         0.000446645           0.0264044            0.278178         0.000446646           0.0264044            0.278178
3.31671         0.000414364           0.0249271            0.268719         0.000414363           0.0249271            0.268719
3.32918         0.000384285           0.0235226            0.259424         0.000384284           0.0235226            0.259424
3.34165         0.000356268           0.0221877            0.250299         0.000356268           0.0221877            0.250299
3.35411         0.000330183           0.0209198            0.241350         0.000330183           0.0209198            0.241350
3.36658         0.000305904           0.0197160            0.232583         0.000305903           0.0197160            0.232583
3.37905         0.000283314           0.0185736            0.224001         0.000283314           0.0185736            0.224001
3.39152         0.000262303           0.0174901            0.215609         0.000262303           0.0174901            0.215609
3.40399         0.000242769           0.0164629            0.207411         0.000242769           0.0164629            0.207411
3.41646         0.000224614           0.0154895            0.199408         0.000224614           0.0154895            0.199408
3.42893         0.000207746           0.0145676            0.191604         0.000207745           0.0145676            0.191604
3.44140         0.000192080           0.0136949            0.184000         0.000192080           0.0136949            0.184000
3.45387         0.000177535           0.0128691            0.176598         0.000177535           0.0128691            0.176598
3.46633         0.000164037           0.0120882            0.169397         0.000164036           0.0120882            0.169397
3.47880         0.000151514           0.0113499            0.162398         0.000151514           0.0113499            0.162398
3.49127         0.000139900           0.0106523            0.155602         0.000139900           0.0106523            0.155602
3.50374         0.000129132          0.00999347            0.149007         0.000129132          0.00999347            0.149007
3.51621         0.000119154          0.00937155            0.142613         0.000119154          0.00937155            0.142613
3.52868         0.000109909          0.00878474            0.136418         0.000109909          0.00878474            0.136418
3.54115         0.000101348          0.00823131            0.130421         0.000101348          0.00823131            0.130421
3.55362         9.34216E-05          0.00770959            0.124620         9.34215E-05          0.00770959            0.124620
3.56608         8.60867E-05          0.00721801            0.119012         8.60866E-05          0.00721801            0.119012
3.57855         7.93010E-05          0.00675503            0.113596         7.93004E-05          0.00675502            0.113596
