#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.0495050          0.00552247          0.00826722           0.0103154          0.00552247          0.00826722           0.0103154
0.0990099           0.0219279           0.0325045           0.0401579           0.0219279           0.0325045           0.0401579
0.148515           0.0487365           0.0710590           0.0863367           0.0487365           0.0710590           0.0863367
0.198020           0.0851679            0.121307            0.143921           0.0851679            0.121307            0.143921
0.247525            0.130170            0.179841            0.206775            0.130170            0.179841            0.206775
0.297030            0.182455            0.242707            0.268221            0.182455            0.242707            0.268221
0.346535            0.240548            0.305687            0.321760            0.240548            0.305687            0.321760
0.396040            0.302837            0.364586            0.361759            0.302837            0.364586            0.361759
0.445545            0.367626            0.415520            0.384054            0.367626            0.415520            0.384054
0.495050            0.433195            0.455178            0.386369            0.433195            0.455178            0.386369
0.544554            0.497853            0.481035            0.368547            0.497853            0.481035            0.368547
0.594059            0.559991            0.491508            0.332543            0.559991            0.491508            0.332543
0.643564            0.618126            0.486049            0.282190            0.618126            0.486049            0.282190
0.693069            0.670947            0.465154            0.222781            0.670947            0.465154            0.222781
0.742574            0.717343            0.430311            0.160496            0.717343            0.430311            0.160496
0.792079            0.756426            0.383879            0.101757            0.756426            0.383879            0.101757
0.841584            0.787547            0.328910           0.0525623            0.787547            0.328910           0.0525623
0.891089            0.810300            0.268943           0.0178914            0.810300            0.268943           0.0178914
0.940594            0.824519            0.207757          0.00121872            0.824519            0.207757          0.00121872
0.990099            0.830264            0.149138          0.00419942            0.830264            0.149138          0.00419942
1.03960            0.827805           0.0966409           0.0265450            0.827805           0.0966409           0.0265450
1.08911            0.817595           0.0533847           0.0660966            0.817595           0.0533847           0.0660966
1.13861            0.800244           0.0218866            0.119081            0.800244           0.0218866            0.119081
1.18812            0.776486          0.00393944            0.180516            0.776486          0.00393944            0.180516
1.23762            0.747147         0.000541516            0.244715            0.747147         0.000541516            0.244715
1.28713            0.713113           0.0118798            0.305848            0.713113           0.0118797            0.305848
1.33663            0.675299           0.0373617            0.358480            0.675299           0.0373617            0.358480
1.38614            0.634617           0.0756918            0.398064            0.634617           0.0756918            0.398064
1.43564            0.591957            0.124983            0.421319            0.591957            0.124983            0.421319
1.48515            0.548158            0.182895            0.426479            0.548158            0.182895            0.426479
1.53465            0.503996            0.246783            0.413393            0.503996            0.246783            0.413393
1.58416            0.460167            0.313862            0.383472            0.460167            0.313862            0.383472
1.63366            0.417279            0.381350            0.339510            0.417279            0.381350            0.339510
1.68317            0.375847            0.446608            0.285385            0.375847            0.446608            0.285385
1.73267            0.336291            0.507258            0.225695            0.336291            0.507258            0.225695
1.78218            0.298938            0.561275            0.165350            0.298938            0.561275            0.165350
1.83168            0.264028            0.607046            0.109166            0.264028            0.607046            0.109166
1.88119            0.231715            0.643408           0.0614995            0.231715            0.643408           0.0614995
1.93069            0.202083            0.669659           0.0259370            0.202083            0.669659           0.0259370
1.98020            0.175148            0.685536          0.00507536            0.175148            0.685536          0.00507536
2.02970            0.150873            0.691186         0.000392071            0.150873            0.691186         0.000392071
2.07921            0.129173            0.687109           0.0122124            0.129173            0.687109           0.0122124
2.12871            0.109929            0.674097           0.0397655            0.109929            0.674097           0.0397655
2.17822           0.0929943            0.653168           0.0813157           0.0929943            0.653168           0.0813157
2.22772           0.0782031            0.625496            0.134352           0.0782031            0.625496            0.134352
2.27723           0.0653785            0.592340            0.195812           0.0653785            0.592340            0.195812
2.32673           0.0543387            0.554988            0.262325           0.0543387            0.554988            0.262325
2.37624           0.0449017            0.514699            0.330449           0.0449017            0.514699            0.330449
2.42574           0.0368904            0.472658            0.396885           0.0368904            0.472658            0.396885
2.47525           0.0301353            0.429948            0.458661           0.0301353            0.429948            0.458661
2.52475           0.0244773            0.387519            0.513270           0.0244773            0.387520            0.513270
2.57426           0.0197693            0.346177            0.558767           0.0197693            0.346177            0.558767
2.62376           0.0158771            0.306576            0.593810           0.0158771            0.306576            0.593810
2.67327           0.0126799            0.269222            0.617668           0.0126799            0.269222            0.617668
2.72277           0.0100702            0.234478            0.630185           0.0100702            0.234478            0.630185
2.77228          0.00795331            0.202580            0.631715          0.00795331            0.202580            0.631715
2.82178          0.00624676            0.173646            0.623042          0.00624676            0.173646            0.623042
2.87129          0.00487943            0.147698            0.605279          0.00487943            0.147698            0.605279
2.92079          0.00379053            0.124677            0.579771          0.00379053            0.124677            0.579771
2.97030          0.00292858            0.104462            0.547995          0.00292858            0.104462            0.547995
3.01980          0.00225034           0.0868851            0.511473          0.00225034           0.0868851            0.511473
3.06931          0.00171981           0.0717454            0.471693          0.00171981           0.0717454            0.471693
3.11881          0.00130727           0.0588233            0.430050          0.00130727           0.0588233            0.430050
3.16832         0.000988334           0.0478910            0.387798         0.000988333           0.0478910            0.387798
3.21782         0.000743204           0.0387211            0.346017         0.000743204           0.0387211            0.346017
3.26733         0.000555882           0.0310933            0.305602         0.000555882           0.0310933            0.305602
3.31683         0.000413556           0.0247996            0.267254         0.000413556           0.0247996            0.267253
3.36634         0.000306034           0.0196478            0.231488         0.000306034           0.0196478            0.231488
3.41584         0.000225264           0.0154635            0.198649         0.000225264           0.0154635            0.198649
3.46535         0.000164934           0.0120906            0.168929         0.000164934           0.0120906            0.168929
3.51485         0.000120124          0.00939215            0.142388         0.000120124          0.00939215            0.142388
3.56436         8.70263E-05          0.00724908            0.118982         8.70263E-05          0.00724908            0.118982
3.61386         6.27165E-05          0.00555935           0.0985843         6.27163E-05          0.00555935           0.0985843
3.66337         4.49600E-05          0.00423653           0.0810068         4.49600E-05          0.00423653           0.0810068
3.71287         3.20619E-05          0.00320820           0.0660218         3.20618E-05          0.00320820           0.0660218
