#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.149626         2.14749E-05         6.45580E-05         0.000122334         2.14749E-05         6.45580E-05         6.45580E-05
0.299252         9.85113E-05         0.000295017         0.000556857         9.85110E-05         0.000295016         0.000295016
0.448878         0.000252215         0.000750631          0.00140780         0.000252215         0.000750631         0.000750631
0.598504         0.000506480          0.00149455          0.00277847         0.000506480          0.00149455          0.00149455
0.748130         0.000887736          0.00259155          0.00476456         0.000887735          0.00259155          0.00259155
0.897756          0.00142459          0.00410540          0.00744710          0.00142459          0.00410540          0.00410540
1.04738          0.00214738          0.00609593           0.0108855          0.00214738          0.00609593          0.00609593
1.19701          0.00308760          0.00861602           0.0151112          0.00308760          0.00861602          0.00861602
1.34663          0.00427728           0.0117085           0.0201217          0.00427728           0.0117085           0.0117085
1.49626          0.00574823           0.0154030           0.0258768          0.00574823           0.0154030           0.0154030
1.64589          0.00753131           0.0197137           0.0322962          0.00753131           0.0197137           0.0197137
1.79551          0.00965557           0.0246363           0.0392587          0.00965557           0.0246363           0.0246363
1.94514           0.0121474           0.0301467           0.0466045           0.0121474           0.0301467           0.0301467
2.09476           0.0150299           0.0361996           0.0541388           0.0150299           0.0361996           0.0361996
2.24439           0.0183216           0.0427283           0.0616387           0.0183216           0.0427283           0.0427283
2.39401           0.0220361           0.0496447           0.0688613           0.0220361           0.0496447           0.0496447
2.54364           0.0261815           0.0568407           0.0755534           0.0261815           0.0568407           0.0568407
2.69327           0.0307592           0.0641901           0.0814635           0.0307592           0.0641901           0.0641901
2.84289           0.0357641           0.0715516           0.0863531           0.0357641           0.0715516           0.0715516
2.99252           0.0411839           0.0787723           0.0900091           0.0411839           0.0787723           0.0787723
3.14214           0.0469988           0.0856918           0.0922551           0.0469988           0.0856918           0.0856918
3.29177           0.0531818           0.0921471           0.0929619           0.0531818           0.0921471           0.0921471
3.44140           0.0596985           0.0979775           0.0920556           0.0596985           0.0979775           0.0979775
3.59102           0.0665076            0.103030           0.0895245           0.0665076            0.103030            0.103030
3.74065           0.0735614            0.107163           0.0854214           0.0735614            0.107163            0.107163
3.89027           0.0808059            0.110255           0.0798653           0.0808059            0.110255            0.110255
4.03990           0.0881823            0.112205           0.0730375           0.0881823            0.112205            0.112205
4.18953           0.0956271            0.112939           0.0651768           0.0956271            0.112939            0.112939
4.33915            0.103074            0.112410           0.0565701            0.103074            0.112410            0.112410
4.48878            0.110453            0.110607           0.0475414            0.110453            0.110607            0.110607
4.63840            0.117695            0.107548           0.0384385            0.117695            0.107548            0.107548
4.78803            0.124729            0.103287           0.0296185            0.124729            0.103287            0.103287
4.93766            0.131486           0.0979101           0.0214323            0.131486           0.0979101           0.0979101
5.08728            0.137899           0.0915330           0.0142089            0.137899           0.0915330           0.0915330
5.23691            0.143905           0.0843007          0.00824147            0.143905           0.0843007           0.0843007
5.38653            0.149444           0.0763823          0.00377359            0.149444           0.0763823           0.0763823
5.53616            0.154463           0.0679668         0.000988627            0.154463           0.0679668           0.0679668
5.68579            0.158913           0.0592578         1.27722E-06            0.158914           0.0592578           0.0592578
5.83541            0.162755           0.0504682         0.000852281            0.162755           0.0504682           0.0504682
5.98504            0.165953           0.0418144          0.00350647            0.165953           0.0418144           0.0418144
6.13466            0.168483           0.0335101          0.00785416            0.168483           0.0335101           0.0335101
6.28429            0.170326           0.0257606           0.0137159            0.170326           0.0257606           0.0257606
6.43392            0.171474           0.0187574           0.0208504            0.171474           0.0187574           0.0187574
6.58354            0.171925           0.0126734           0.0289647            0.171925           0.0126734           0.0126734
6.73317            0.171686          0.00765771           0.0377272            0.171686          0.00765771          0.00765771
6.88279            0.170770          0.00383291           0.0467816            0.170770          0.00383291          0.00383291
7.03242            0.169200          0.00129170           0.0557623            0.169200          0.00129170          0.00129170
7.18204            0.167003         9.51698E-05           0.0643096            0.167003         9.51696E-05         9.51696E-05
7.33167            0.164213         0.000271820           0.0720845            0.164213         0.000271820         0.000271820
7.48130            0.160870          0.00181756           0.0787825            0.160870          0.00181756          0.00181756
7.63092            0.157017          0.00469659           0.0841454            0.157017          0.00469659          0.00469659
7.78055            0.152702          0.00884316           0.0879715            0.152702          0.00884315          0.00884315
7.93017            0.147974           0.0141640           0.0901225            0.147974           0.0141640           0.0141640
8.07980            0.142886           0.0205417           0.0905278            0.142886           0.0205417           0.0205417
8.22943            0.137492           0.0278379           0.0891864            0.137492           0.0278379           0.0278379
8.37905            0.131845           0.0358981           0.0861652            0.131845           0.0358981           0.0358981
8.52868            0.125997           0.0445553           0.0815951            0.125997           0.0445553           0.0445553
