#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.433915             1.79493            0.505051          0.00464508             1.79493             1.79493          0.00464508
0.438903             1.80181            0.474677          0.00120864             1.80181             1.80181          0.00120864
0.443890             1.80778            0.444559         1.77699E-06             1.80778             1.80778         1.77689E-06
0.448878             1.81283            0.414790          0.00103048             1.81283             1.81283          0.00103048
0.453865             1.81697            0.385459          0.00428966             1.81697             1.81697          0.00428966
0.458853             1.82019            0.356655          0.00976325             1.82019             1.82019          0.00976325
0.463840             1.82252            0.328464           0.0174244             1.82252             1.82252           0.0174244
0.468828             1.82395            0.300972           0.0272354             1.82395             1.82395           0.0272354
0.473815             1.82448            0.274260           0.0391483             1.82448             1.82448           0.0391483
0.478803             1.82414            0.248408           0.0531050             1.82414             1.82414           0.0531050
0.483791             1.82292            0.223493           0.0690374             1.82292             1.82292           0.0690374
0.488778             1.82083            0.199587           0.0868683             1.82083             1.82083           0.0868683
0.493766             1.81790            0.176762            0.106511             1.81790             1.81790            0.106511
0.498753             1.81412            0.155083            0.127871             1.81412             1.81412            0.127871
0.503741             1.80952            0.134615            0.150845             1.80952             1.80952            0.150845
0.508728             1.80410            0.115417            0.175323             1.80410             1.80410            0.175323
0.513716             1.79788           0.0975433            0.201187             1.79788             1.79788            0.201187
0.518703             1.79088           0.0810465            0.228315             1.79088             1.79088            0.228315
0.523691             1.78311           0.0659733            0.256576             1.78311             1.78311            0.256576
0.528678             1.77459           0.0523668            0.285838             1.77459             1.77459            0.285838
0.533666             1.76533           0.0402655            0.315960             1.76533             1.76533            0.315960
0.538653             1.75536           0.0297036            0.346802             1.75536             1.75536            0.346802
0.543641             1.74469           0.0207106            0.378219             1.74469             1.74469            0.378219
0.548628             1.73334           0.0133118            0.410063             1.73334             1.73334            0.410063
0.553616             1.72133          0.00752771            0.442187             1.72133             1.72133            0.442187
0.558603             1.70868          0.00337424            0.474440             1.70868             1.70868            0.474440
0.563591             1.69542         0.000862855            0.506674             1.69542             1.69542            0.506674
0.568579             1.68155         4.10336E-07            0.538741             1.68155             1.68155            0.538741
0.573566             1.66711         0.000789255            0.570492             1.66711             1.66711            0.570492
0.578554             1.65211          0.00322726            0.601785             1.65211             1.65211            0.601785
0.583541             1.63658          0.00730789            0.632475             1.63658             1.63658            0.632475
0.588529             1.62054           0.0130202            0.662425             1.62054             1.62054            0.662425
0.593516             1.60401           0.0203492            0.691501             1.60401             1.60401            0.691501
0.598504             1.58701           0.0292754            0.719571             1.58701             1.58701            0.719571
0.603491             1.56957           0.0397755            0.746512             1.56957             1.56957            0.746512
0.608479             1.55170           0.0518222            0.772204             1.55170             1.55170            0.772204
0.613466             1.53343           0.0653843            0.796536             1.53343             1.53343            0.796536
0.618454             1.51479           0.0804270            0.819401             1.51479             1.51479            0.819401
0.623441             1.49579           0.0969120            0.840700             1.49579             1.49579            0.840700
0.628429             1.47645            0.114798            0.860344             1.47645             1.47645            0.860344
0.633416             1.45681            0.134039            0.878249             1.45681             1.45681            0.878249
0.638404             1.43687            0.154588            0.894341             1.43687             1.43687            0.894341
0.643392             1.41667            0.176393            0.908553             1.41667             1.41667            0.908553
0.648379             1.39623            0.199402            0.920829             1.39623             1.39623            0.920829
0.653367             1.37556            0.223558            0.931120             1.37556             1.37556            0.931120
0.658354             1.35469            0.248803            0.939389             1.35469             1.35469            0.939389
0.663342             1.33363            0.275077            0.945604             1.33363             1.33363            0.945604
0.668329             1.31242            0.302316            0.949746             1.31242             1.31242            0.949746
0.673317             1.29107            0.330457            0.951803             1.29107             1.29107            0.951803
0.678304             1.26960            0.359434            0.951775             1.26960             1.26960            0.951775
0.683292             1.24802            0.389181            0.949669             1.24802             1.24802            0.949669
0.688279             1.22637            0.419628            0.945500             1.22637             1.22637            0.945500
0.693267             1.20466            0.450708            0.939296             1.20466             1.20466            0.939296
0.698254             1.18290            0.482350            0.931091             1.18290             1.18290            0.931091
0.703242             1.16112            0.514484            0.920926             1.16112             1.16112            0.920926
0.708229             1.13933            0.547039            0.908855             1.13933             1.13933            0.908855
0.713217             1.11755            0.579945            0.894935             1.11755             1.11755            0.894935
0.718204             1.09579            0.613130            0.879234             1.09579             1.09579            0.879234
0.723192             1.07408            0.646525            0.861826             1.07408             1.07408            0.861826
0.728180             1.05243            0.680060            0.842792             1.05243             1.05243            0.842792
0.733167             1.03086            0.713664            0.822219             1.03086             1.03086            0.822219
0.738155             1.00937            0.747269            0.800201             1.00937             1.00937            0.800201
0.743142            0.987986            0.780807            0.776837            0.987986            0.987986            0.776837
0.748130            0.966720            0.814212            0.752230            0.966720            0.966720            0.752230
0.753117            0.945584            0.847418            0.726490            0.945584            0.945584            0.726490
0.758105            0.924592            0.880360            0.699730            0.924592            0.924592            0.699730
0.763092            0.903755            0.912977            0.672065            0.903755            0.903755            0.672065
0.768080            0.883086            0.945206            0.643615            0.883086            0.883086            0.643615
0.773067            0.862594            0.976990            0.614502            0.862594            0.862594            0.614502
0.778055            0.842292             1.00827            0.584849            0.842292            0.842292            0.584849
0.783042            0.822189             1.03899            0.554782            0.822189            0.822189            0.554782
0.788030            0.802295             1.06910            0.524427            0.802295            0.802295            0.524427
0.793017            0.782619             1.09854            0.493909            0.782619            0.782619            0.493909
0.798005            0.763169             1.12728            0.463357            0.763169            0.763169            0.463357
0.802993            0.743953             1.15525            0.432894            0.743953            0.743953            0.432894
0.807980            0.724980             1.18242            0.402645            0.724980            0.724980            0.402645
0.812968            0.706255             1.20874            0.372734            0.706255            0.706255            0.372734
0.817955            0.687786             1.23418            0.343280            0.687786            0.687786            0.343280
0.822943            0.669578             1.25870            0.314401            0.669578            0.669578            0.314401
0.827930            0.651638             1.28227            0.286212            0.651638            0.651638            0.286212
0.832918            0.633970             1.30484            0.258825            0.633970            0.633970            0.258825
0.837905            0.616579             1.32641            0.232346            0.616579            0.616579            0.232346
0.842893            0.599469             1.34692            0.206880            0.599469            0.599469            0.206880
0.847880            0.582644             1.36638            0.182525            0.582644            0.582644            0.182525
0.852868            0.566107             1.38474            0.159374            0.566107            0.566107            0.159374
0.857855            0.549861             1.40200            0.137516            0.549861            0.549861            0.137516
0.862843            0.533908             1.41814            0.117033            0.533908            0.533908            0.117033
0.867830            0.518251             1.43315           0.0980037            0.518251            0.518251           0.0980038
0.872818            0.502892             1.44700           0.0804983            0.502892            0.502892           0.0804983
0.877805            0.487831             1.45971           0.0645821            0.487831            0.487831           0.0645821
0.882793            0.473070             1.47125           0.0503137            0.473070            0.473070           0.0503137
0.887781            0.458609             1.48163           0.0377455            0.458609            0.458609           0.0377454
0.892768            0.444448             1.49085           0.0269230            0.444448            0.444448           0.0269230
0.897756            0.430587             1.49890           0.0178854            0.430587            0.430587           0.0178854
0.902743            0.417027             1.50579           0.0106651            0.417027            0.417027           0.0106651
0.907731            0.403766             1.51153          0.00528771            0.403766            0.403766          0.00528770
0.912718            0.390803             1.51612          0.00177220            0.390803            0.390803          0.00177220
0.917706            0.378137             1.51957         0.000130917            0.378137            0.378137         0.000130916
0.922693            0.365767             1.52190         0.000369550            0.365767            0.365767         0.000369549
0.927681            0.353691             1.52311          0.00248729            0.353691            0.353691          0.00248729
0.932668            0.341906             1.52323          0.00647691            0.341906            0.341906          0.00647690
0.937656            0.330410             1.52227           0.0123249            0.330410            0.330410           0.0123249
0.942643            0.319202             1.52025           0.0200116            0.319202            0.319202           0.0200116
0.947631            0.308278             1.51718           0.0295114            0.308278            0.308278           0.0295114
0.952618            0.297636             1.51310           0.0407930            0.297636            0.297636           0.0407930
0.957606            0.287272             1.50802           0.0538193            0.287272            0.287272           0.0538193
0.962594            0.277183             1.50196           0.0685483            0.277183            0.277183           0.0685483
0.967581            0.267366             1.49496           0.0849324            0.267366            0.267366           0.0849324
0.972569            0.257817             1.48704            0.102920            0.257817            0.257817            0.102920
0.977556            0.248533             1.47822            0.122453            0.248533            0.248533            0.122453
0.982544            0.239509             1.46854            0.143472            0.239509            0.239509            0.143472
0.987531            0.230743             1.45803            0.165910            0.230743            0.230743            0.165910
0.992519            0.222229             1.44670            0.189701            0.222229            0.222229            0.189701
0.997506            0.213965             1.43461            0.214770            0.213965            0.213965            0.214770
1.00249            0.205945             1.42176            0.241044            0.205945            0.205945            0.241044
1.00748            0.198165             1.40821            0.268444            0.198165            0.198165            0.268444
1.01247            0.190622             1.39397            0.296890            0.190622            0.190622            0.296890
1.01746            0.183310             1.37908            0.326298            0.183310            0.183310            0.326298
1.02244            0.176225             1.36358            0.356586            0.176225            0.176225            0.356586
1.02743            0.169363             1.34749            0.387667            0.169363            0.169363            0.387667
1.03242            0.162719             1.33085            0.419453            0.162719            0.162719            0.419453
1.03741            0.156288             1.31370            0.451858            0.156288            0.156288            0.451858
1.04239            0.150067             1.29605            0.484792            0.150067            0.150067            0.484792
1.04738            0.144050             1.27795            0.518166            0.144050            0.144050            0.518166
1.05237            0.138233             1.25944            0.551893            0.138233            0.138233            0.551893
1.05736            0.132611             1.24053            0.585884            0.132611            0.132611            0.585884
1.06234            0.127180             1.22126            0.620050            0.127180            0.127180            0.620050
1.06733            0.121935             1.20167            0.654306            0.121935            0.121935            0.654305
1.07232            0.116871             1.18178            0.688564            0.116871            0.116871            0.688564
1.07731            0.111984             1.16163            0.722741            0.111984            0.111984            0.722741
1.08229            0.107270             1.14124            0.756754            0.107270            0.107270            0.756754
1.08728            0.102724             1.12065            0.790522            0.102724            0.102724            0.790522
1.09227           0.0983415             1.09988            0.823966           0.0983415           0.0983415            0.823966
1.09726           0.0941180             1.07896            0.857009           0.0941181           0.0941181            0.857009
1.10224           0.0900494             1.05792            0.889578           0.0900494           0.0900494            0.889577
1.10723           0.0861312             1.03678            0.921599           0.0861313           0.0861313            0.921599
1.11222           0.0823593             1.01558            0.953005           0.0823593           0.0823593            0.953005
1.11721           0.0787294            0.994331            0.983729           0.0787294           0.0787294            0.983729
1.12219           0.0752374            0.973066             1.01371           0.0752374           0.0752374             1.01371
1.12718           0.0718792            0.951805             1.04288           0.0718792           0.0718792             1.04288
1.13217           0.0686508            0.930572             1.07120           0.0686508           0.0686508             1.07120
1.13716           0.0655483            0.909389             1.09859           0.0655482           0.0655482             1.09859
1.14214           0.0625676            0.888277             1.12503           0.0625676           0.0625676             1.12503
1.14713           0.0597051            0.867256             1.15045           0.0597051           0.0597051             1.15045
1.15212           0.0569569            0.846346             1.17482           0.0569569           0.0569569             1.17482
1.15711           0.0543195            0.825566             1.19810           0.0543195           0.0543195             1.19810
1.16209           0.0517891            0.804933             1.22025           0.0517891           0.0517891             1.22025
1.16708           0.0493622            0.784465             1.24123           0.0493622           0.0493622             1.24123
1.17207           0.0470354            0.764177             1.26103           0.0470354           0.0470354             1.26103
1.17706           0.0448054            0.744084             1.27961           0.0448054           0.0448054             1.27961
1.18204           0.0426687            0.724201             1.29696           0.0426687           0.0426687             1.29696
1.18703           0.0406221            0.704541             1.31305           0.0406221           0.0406221             1.31305
1.19202           0.0386626            0.685118             1.32787           0.0386626           0.0386626             1.32787
1.19701           0.0367870            0.665941             1.34142           0.0367870           0.0367870             1.34142
1.20200           0.0349922            0.647024             1.35367           0.0349923           0.0349923             1.35367
1.20698           0.0332755            0.628375             1.36463           0.0332755           0.0332755             1.36463
1.21197           0.0316339            0.610004             1.37430           0.0316339           0.0316339             1.37430
1.21696           0.0300647            0.591920             1.38267           0.0300647           0.0300647             1.38267
1.22195           0.0285651            0.574131             1.38975           0.0285651           0.0285651             1.38975
1.22693           0.0271325            0.556643             1.39556           0.0271325           0.0271325             1.39556
1.23192           0.0257644            0.539463             1.40009           0.0257644           0.0257644             1.40009
1.23691           0.0244583            0.522597             1.40336           0.0244583           0.0244583             1.40336
1.24190           0.0232117            0.506050             1.40540           0.0232117           0.0232117             1.40540
1.24688           0.0220224            0.489826             1.40620           0.0220224           0.0220224             1.40620
1.25187           0.0208881            0.473928             1.40581           0.0208881           0.0208881             1.40581
1.25686           0.0198066            0.458360             1.40423           0.0198066           0.0198066             1.40423
1.26185           0.0187757            0.443123             1.40149           0.0187757           0.0187757             1.40149
1.26683           0.0177934            0.428221             1.39762           0.0177934           0.0177934             1.39762
1.27182           0.0168578            0.413654             1.39265           0.0168578           0.0168578             1.39265
1.27681           0.0159668            0.399424             1.38660           0.0159667           0.0159667             1.38660
1.28180           0.0151185            0.385529             1.37950           0.0151185           0.0151185             1.37950
1.28678           0.0143113            0.371971             1.37140           0.0143114           0.0143114             1.37140
1.29177           0.0135434            0.358748             1.36232           0.0135434           0.0135434             1.36232
1.29676           0.0128131            0.345859             1.35230           0.0128131           0.0128131             1.35230
1.30175           0.0121187            0.333303             1.34137           0.0121187           0.0121187             1.34137
1.30673           0.0114587            0.321078             1.32957           0.0114587           0.0114587             1.32957
1.31172           0.0108316            0.309181             1.31694           0.0108316           0.0108316             1.31694
1.31671           0.0102359            0.297610             1.30351           0.0102359           0.0102359             1.30351
1.32170          0.00967024            0.286361             1.28932          0.00967024          0.00967024             1.28932
1.32668          0.00913329            0.275433             1.27442          0.00913329          0.00913329             1.27442
1.33167          0.00862372            0.264820             1.25884          0.00862373          0.00862373             1.25884
1.33666          0.00814030            0.254519             1.24263          0.00814031          0.00814031             1.24263
1.34165          0.00768182            0.244525             1.22581          0.00768181          0.00768181             1.22581
