#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.0124688         0.000162353         0.000299295         0.000414662         0.000162353         0.000299295         0.000414662
0.0249377         0.000657121          0.00121067          0.00167633         0.000657120          0.00121067          0.00167633
0.0374065          0.00149542          0.00275241          0.00380723          0.00149541          0.00275241          0.00380723
0.0498753          0.00268772          0.00494008          0.00682369          0.00268771          0.00494008          0.00682370
0.0623441          0.00424383          0.00778641           0.0107359          0.00424383          0.00778642           0.0107359
0.0748130          0.00617287           0.0113012           0.0155478          0.00617287           0.0113012           0.0155478
0.0872818          0.00848320           0.0154913           0.0212570          0.00848320           0.0154913           0.0212570
0.0997506           0.0111824           0.0203603           0.0278544           0.0111824           0.0203604           0.0278544
0.112219           0.0142774           0.0259089           0.0353248           0.0142774           0.0259089           0.0353248
0.124688           0.0177741           0.0321344           0.0436462           0.0177741           0.0321344           0.0436462
0.137157           0.0216776           0.0390309           0.0527904           0.0216776           0.0390309           0.0527905
0.149626           0.0259924           0.0465893           0.0627230           0.0259924           0.0465893           0.0627230
0.162095           0.0307218           0.0547974           0.0734033           0.0307218           0.0547974           0.0734033
0.174564           0.0358682           0.0636396           0.0847848           0.0358682           0.0636396           0.0847848
0.187032           0.0414335           0.0730973           0.0968155           0.0414335           0.0730973           0.0968155
0.199501           0.0474181           0.0831486            0.109438           0.0474181           0.0831486            0.109438
0.211970           0.0538220           0.0937688            0.122590           0.0538220           0.0937688            0.122590
0.224439           0.0606438            0.104930            0.136204           0.0606438            0.104930            0.136204
0.236908           0.0678815            0.116601            0.150210           0.0678815            0.116601            0.150210
0.249377           0.0755319            0.128750            0.164531           0.0755319            0.128750            0.164531
0.261845           0.0835912            0.141339            0.179092           0.0835912            0.141339            0.179092
0.274314           0.0920542            0.154331            0.193809           0.0920542            0.154331            0.193809
0.286783            0.100915            0.167684            0.208602            0.100915            0.167684            0.208602
0.299252            0.110167            0.181356            0.223384            0.110167            0.181356            0.223384
0.311721            0.119803            0.195301            0.238070            0.119803            0.195301            0.238070
0.324190            0.129813            0.209473            0.252574            0.129813            0.209473            0.252574
0.336658            0.140188            0.223824            0.266810            0.140188            0.223824            0.266810
0.349127            0.150918            0.238303            0.280692            0.150918            0.238303            0.280692
0.361596            0.161991            0.252860            0.294137            0.161991            0.252860            0.294137
0.374065            0.173396            0.267443            0.307062            0.173396            0.267443            0.307062
0.386534            0.185120            0.282000            0.319387            0.185120            0.282000            0.319387
0.399002            0.197148            0.296477            0.331036            0.197148            0.296477            0.331036
0.411471            0.209468            0.310822            0.341935            0.209468            0.310822            0.341936
0.423940            0.222062            0.324980            0.352016            0.222062            0.324980            0.352016
0.436409            0.234917            0.338899            0.361213            0.234917            0.338899            0.361213
0.448878            0.248015            0.352526            0.369468            0.248015            0.352526            0.369468
0.461347            0.261339            0.365810            0.376725            0.261339            0.365810            0.376725
0.473815            0.274872            0.378699            0.382938            0.274872            0.378699            0.382938
0.486284            0.288595            0.391145            0.388064            0.288595            0.391145            0.388064
0.498753            0.302491            0.403097            0.392068            0.302491            0.403097            0.392068
0.511222            0.316540            0.414510            0.394921            0.316540            0.414510            0.394921
