#Eig(Ja)                 Time(Ja)               iterations                  Eig(Ar)                 Time(Ar)
2.23007                  61.1576                   263322                  2.23007                 0.134374
4.13425                  61.1576                   263322                  4.13425                 0.134374
6.07340                  61.1576                   263322                  6.07340                 0.134374
8.02990                  61.1576                   263322                  8.02990                 0.134374
9.99647                  61.1576                   263322                  9.99647                 0.134374
