#Eig(Ja)                 Time(Ja)               iterations                  Eig(Ar)                 Time(Ar)
0.105774                  55.2900                   246066                 0.105774                 0.124695
0.141506                  55.2900                   246066                 0.141506                 0.124695
0.177956                  55.2900                   246066                 0.177956                 0.124695
0.214948                  55.2900                   246066                 0.214948                 0.124695
0.252380                  55.2900                   246066                 0.252380                 0.124695
