#Eig(Ja)                 Time(Ja)               iterations                  Eig(Ar)                 Time(Ar)
2.99981                  3.67701                    66828                  2.99981                0.0214100
6.99904                  3.67701                    66828                  6.99904                0.0214100
10.9978                  3.67701                    66828                  10.9978                0.0214100
15.0015                  3.67701                    66828                  15.0015                0.0214100
19.0658                  3.67701                    66828                  19.0658                0.0214100
